game_key,tg,competition,comp_type,game_number,round_label,date,time,home_club_id,home_name,away_club_id,away_name,home_score,away_score,status,result_note,location
3081556,45262423,Premier,league,7059,SF2,2012-08-05,4:00 pm,10350976,SoHo FC,10359005,Clarence,4,1,played,FT,Nichols School Peek
3081555,45262423,Premier,league,7058,SF1,2012-08-05,6:00 pm,10350991,BSC Raiders,10350979,Azzurri,2,3,played,PK,Nichols School Peek
3081557,45262423,Premier,league,7060,CHMP,2012-08-12,6:00 pm,10350976,SoHo FC,10350979,Azzurri,2,1,played,OT,Nichols School Nichols Grass Field
3081498,45262423,Premier,league,7001,,2012-05-06,2:00 pm,10350976,SoHo FC,10350979,Azzurri,1,0,played,,Nichols School Strauss Truscott
3081501,45262423,Premier,league,7004,,2012-05-06,4:00 pm,15295049,Chelsea,10359005,Clarence,0,3,played,,Nichols School Peek
3081502,45262423,Premier,league,7005,,2012-05-06,6:00 pm,10359020,Aurora,10359074,Lykan FC,1,3,played,,Hamlin Park 1
3081500,45262423,Premier,league,7003,,2012-05-06,6:00 pm,10350991,BSC Raiders,10358999,Lakeside FC,3,0,played,,Nichols School Peek
3081499,45262423,Premier,league,7002,,2012-05-06,6:00 pm,10350982,Lazio,18647016,Buffalo United SS,1,1,played,,Nichols School Strauss Truscott
3081504,45262423,Premier,league,7007,,2012-05-13,2:00 pm,10358999,Lakeside FC,10359020,Aurora,2,1,played,,Nichols School Strauss Truscott
3081507,45262423,Premier,league,7010,,2012-05-13,2:00 pm,10350976,SoHo FC,10350982,Lazio,0,0,played,,Nichols School Strauss Truscott
3081506,45262423,Premier,league,7009,,2012-05-13,4:00 pm,10350979,Azzurri,15295049,Chelsea,3,1,played,,Nichols School Peek
3081503,45262423,Premier,league,7006,,2012-05-13,4:00 pm,10359074,Lykan FC,18647016,Buffalo United SS,1,3,played,,Nichols School Strauss Truscott
3081505,45262423,Premier,league,7008,,2012-05-13,6:00 pm,10350991,BSC Raiders,10359005,Clarence,1,0,played,,Nichols School Peek
3081509,45262423,Premier,league,7012,,2012-05-20,4:00 pm,10358999,Lakeside FC,10359074,Lykan FC,1,1,played,,Nichols School Strauss Truscott
3081510,45262423,Premier,league,7013,,2012-05-20,6:00 pm,10359005,Clarence,10350976,SoHo FC,0,2,played,,Clarence Town Hall Park 1
3081512,45262423,Premier,league,7015,,2012-05-20,6:00 pm,18647016,Buffalo United SS,10359020,Aurora,1,0,played,,ECC North
3081508,45262423,Premier,league,7011,,2012-05-20,6:00 pm,10350979,Azzurri,10350982,Lazio,3,1,played,,Nichols School Strauss Truscott
3081511,45262423,Premier,league,7014,,2012-05-20,6:00 pm,10350991,BSC Raiders,15295049,Chelsea,6,2,played,,Nichols School Strauss Truscott
3081515,45262423,Premier,league,7018,,2012-06-03,4:00 pm,10350976,SoHo FC,10350991,BSC Raiders,0,2,played,,Nichols School Strauss Truscott
3081516,45262423,Premier,league,7019,,2012-06-03,4:00 pm,10359074,Lykan FC,10350979,Azzurri,1,1,played,,Nichols School Strauss Truscott
3081517,45262423,Premier,league,7020,,2012-06-03,6:00 pm,18647016,Buffalo United SS,10359005,Clarence,0,8,played,,ECC North
3081513,45262423,Premier,league,7016,,2012-06-03,6:00 pm,10359020,Aurora,15295049,Chelsea,0,1,played,,Hamlin Park 1
3081514,45262423,Premier,league,7017,,2012-06-03,6:00 pm,10350982,Lazio,10358999,Lakeside FC,3,1,played,,Nichols School Strauss Truscott
3081518,45262423,Premier,league,7021,,2012-06-10,2:00 pm,10358999,Lakeside FC,10359005,Clarence,1,3,played,,Nichols School Strauss Truscott
3081521,45262423,Premier,league,7024,,2012-06-10,2:00 pm,10359074,Lykan FC,10350976,SoHo FC,5,3,played,,Nichols School Strauss Truscott
3081519,45262423,Premier,league,7022,,2012-06-10,6:00 pm,10350982,Lazio,10359020,Aurora,8,1,played,,Nichols School Strauss Truscott
3081522,45262423,Premier,league,7025,,2012-06-10,6:00 pm,15295049,Chelsea,18647016,Buffalo United SS,3,2,played,,Nichols School Strauss Truscott
3081520,45262423,Premier,league,7023,,2012-06-10,6:00 pm,10350979,Azzurri,10350991,BSC Raiders,2,4,played,,Walden Pond Park 1
3081527,45262423,Premier,league,7030,,2012-06-17,4:00 pm,18647016,Buffalo United SS,10350979,Azzurri,2,2,played,,ECC North
3081524,45262423,Premier,league,7027,,2012-06-17,6:00 pm,10359005,Clarence,10359074,Lykan FC,1,0,played,,Clarence Town Hall Park 1
3081525,45262423,Premier,league,7028,,2012-06-17,6:00 pm,10359020,Aurora,10350976,SoHo FC,0,2,played,,Hamlin Park 1
3081523,45262423,Premier,league,7026,,2012-06-17,6:00 pm,10350991,BSC Raiders,10350982,Lazio,0,2,played,,Nichols School Strauss Truscott
3081526,45262423,Premier,league,7029,,2012-06-17,6:00 pm,15295049,Chelsea,10358999,Lakeside FC,1,1,played,,Nichols School Strauss Truscott
3081528,45262423,Premier,league,7031,,2012-06-24,2:00 pm,10350976,SoHo FC,15295049,Chelsea,3,1,played,,Nichols School Strauss Truscott
3081532,45262423,Premier,league,7035,,2012-06-24,2:00 pm,10358999,Lakeside FC,18647016,Buffalo United SS,4,3,played,,Nichols School Strauss Truscott
3081530,45262423,Premier,league,7033,,2012-06-24,4:00 pm,10350982,Lazio,10359074,Lykan FC,0,0,played,,Nichols School Strauss Truscott
3081529,45262423,Premier,league,7032,,2012-06-24,6:00 pm,10350979,Azzurri,10359005,Clarence,1,6,played,,Nichols School Strauss Truscott
3081531,45262423,Premier,league,7034,,2012-06-24,6:00 pm,10350991,BSC Raiders,10359020,Aurora,3,1,played,,Nichols School Strauss Truscott
3081373,45262427,Championship,league,7269,,2012-08-05,6:00 pm,10359029,Panthers,10359008,Roos FC,5,2,played,,
3081374,45262427,Championship,league,7270,,2012-08-05,6:00 pm,10359017,Celtic United,10359002,West Seneca Strikers,2,1,played,,Ellicott Creek Park 1
3081375,45262427,Championship,league,7271,,2012-08-12,6:00 pm,10359029,Panthers,10359017,Celtic United,0,3,played,,Nichols School Peek
3081324,45262427,Championship,league,7220,,2012-06-03,6:00 pm,15294612,Tonawanda City,35214669,Nickel City Wanderers,1,3,played,,Ives Pond 1
3081325,45262427,Championship,league,7221,,2012-06-03,6:00 pm,10359050,Yemen Elite,10359017,Celtic United,2,2,played,,Lehigh
3081326,45262427,Championship,league,7222,,2012-06-03,6:00 pm,10359080,Alden Eclipse,10359029,Panthers,0,4,played,,Nichols School Strauss Truscott
3081323,45262427,Championship,league,7219,,2012-06-03,6:00 pm,10359008,Roos FC,10359002,West Seneca Strikers,1,2,played,,Orchard Park Soccer Complex 1
3081327,45262427,Championship,league,7223,,2012-06-03,6:00 pm,10359120,NS Alliance,10359086,Rangers,3,3,played,,Orchard Park Soccer Complex 1
3081328,45262427,Championship,league,7224,,2012-06-03,6:00 pm,10359023,Polonia,26895907,Amherst Sharpshooters,0,2,played,,Sahlen's Sportspark 1
3081333,45262427,Championship,league,7229,,2012-06-10,4:00 pm,10359080,Alden Eclipse,10359002,West Seneca Strikers,1,1,played,,Nichols School Strauss Truscott
3081331,45262427,Championship,league,7227,,2012-06-10,6:00 pm,26895907,Amherst Sharpshooters,35214669,Nickel City Wanderers,3,1,played,,ECC North
3081332,45262427,Championship,league,7228,,2012-06-10,6:00 pm,10359017,Celtic United,15294612,Tonawanda City,8,0,played,,Ellicott Creek Park 1
3081334,45262427,Championship,league,7230,,2012-06-10,6:00 pm,10359050,Yemen Elite,10359008,Roos FC,0,0,played,,Lehigh
3081329,45262427,Championship,league,7225,,2012-06-10,6:00 pm,10359086,Rangers,10359029,Panthers,4,4,played,,Rehm Road
3081330,45262427,Championship,league,7226,,2012-06-10,6:00 pm,10359023,Polonia,10359120,NS Alliance,1,2,played,,Sahlen's Sportspark 1
3081340,45262427,Championship,league,7236,,2012-06-17,6:00 pm,26895907,Amherst Sharpshooters,15294612,Tonawanda City,2,1,played,,ECC North
3081335,45262427,Championship,league,7231,,2012-06-17,6:00 pm,10359017,Celtic United,10359023,Polonia,6,3,played,,Ellicott Creek Park 1
3081339,45262427,Championship,league,7235,,2012-06-17,6:00 pm,10359120,NS Alliance,10359080,Alden Eclipse,7,1,played,,Orchard Park Soccer Complex 1
3081338,45262427,Championship,league,7234,,2012-06-17,6:00 pm,10359086,Rangers,35214669,Nickel City Wanderers,4,3,played,,Rehm Road
3081336,45262427,Championship,league,7232,,2012-06-17,6:00 pm,10359029,Panthers,10359008,Roos FC,2,0,played,,UB North - Kunz Field
3081337,45262427,Championship,league,7233,,2012-06-17,6:00 pm,10359002,West Seneca Strikers,10359050,Yemen Elite,1,4,played,,West Seneca Soccer Complex A
3081341,45262427,Championship,league,7237,,2012-06-24,4:00 pm,35214669,Nickel City Wanderers,10359050,Yemen Elite,1,3,played,,ECC North
3081343,45262427,Championship,league,7239,,2012-06-24,4:00 pm,10359080,Alden Eclipse,10359017,Celtic United,3,2,played,,Nichols School Strauss Truscott
3081345,45262427,Championship,league,7241,,2012-06-24,6:00 pm,26895907,Amherst Sharpshooters,10359029,Panthers,2,2,played,,ECC North
3081346,45262427,Championship,league,7242,,2012-06-24,6:00 pm,10359120,NS Alliance,15294612,Tonawanda City,3,3,played,,Orchard Park Soccer Complex 1
3081342,45262427,Championship,league,7238,,2012-06-24,6:00 pm,10359086,Rangers,10359008,Roos FC,1,3,played,,Rehm Road
3081344,45262427,Championship,league,7240,,2012-06-24,6:00 pm,10359002,West Seneca Strikers,10359023,Polonia,1,2,played,,West Seneca Soccer Complex A
