check_date,checked_at,tg,competition,comp_type,club_id,team_name,person_key,name,page_gp,page_g,page_a,el_gp,el_g,el_a,d_gp,d_g,d_a,matched
2026-08-04,2026-08-04T20:36:28,116112416,1st Division,league,114564610,Mandem FC,115078395,"Webster, Alec",11,4,8,10,4,8,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,75230484,"Altman-Cosgrove, Brendan",10,2,0,9,1,0,1,1,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,35822083,"Altman-Cosgrove, Mitch",10,0,0,9,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,75238301,"Asbach, Michael",7,0,1,6,0,0,1,0,1,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,75238320,"Billica, Jared",7,0,0,6,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,116614051,"Coleman, Declan",8,0,1,7,0,1,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,116614046,"Connors, Patrick",4,0,0,3,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,116748541,"Diebold, Jonah",7,7,4,6,5,3,1,2,1,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,107733527,"Grondin, Avery",8,2,6,7,2,5,1,0,1,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,69252569,"Hannon, Doug",10,0,3,9,0,3,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,76389180,"Holler, Nate",7,3,1,6,3,1,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,83451052,"Librock, Brett",8,3,2,7,2,2,1,1,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,83377445,"McCabe, Trevor",1,0,0,0,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,92211360,"O'Conner, Sean",8,0,0,7,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,83275151,"Passantino, Mark",9,0,0,8,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,107338582,"Sieracki, Christopher",7,0,0,6,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,87285939,"Stryker, Chris",10,7,4,9,7,3,1,0,1,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,10359111,Crimson Fire FC,15874309,"Weigand, Robert",2,0,0,1,0,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,91696051,"Cappuccio, Dave",7,0,1,6,0,1,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,87422534,"Doak, Jeremy",8,0,1,7,0,1,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,101930086,"Dos Santos, Lucimar",9,3,0,8,3,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,116514069,"Endich, Jacob",8,3,2,7,3,2,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,98647624,"Fiutko, Drew",9,0,1,8,0,1,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,91329322,"Jordan, Tim",7,2,0,6,2,0,1,0,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,95809995,"Leighton, Gavin",7,1,0,6,0,0,1,1,0,key
2026-08-04,2026-08-04T20:36:28,116112417,2nd Division,league,98469009,Infinity FC,35406491,"Lennox, Luke",9,2,9,8,2,7,1,0,2,key
